Make,Model,Year,HP,Cylinders,Transmission,Drive Mode,Vehicle Style,MPG-H,MPG-C,Popularity,Price,HP_Type,Price_class
Mercedes-Benz,190-Class,1993,158.0,6.0,MANUAL,rear wheel drive,Sedan,25,17,617,2000,low,low
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,rear wheel drive,Coupe,35,23,3916,32850,low,mid
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,rear wheel drive,Convertible,34,23,3916,38650,low,mid
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,rear wheel drive,Convertible,31,20,3916,48750,high,mid
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,all wheel drive,Coupe,35,23,3916,34850,low,mid
BMW,2 Series,2016,240.0,4.0,AUTOMATIC,all wheel drive,Convertible,34,22,3916,40650,low,mid
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,rear wheel drive,Coupe,31,20,3916,44150,high,mid
BMW,2 Series,2016,240.0,4.0,MANUAL,rear wheel drive,Coupe,34,22,3916,32850,low,mid
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,all wheel drive,Coupe,30,20,3916,46150,high,mid
BMW,2 Series,2016,320.0,6.0,AUTOMATIC,rear wheel drive,Convertible,30,20,3916,50750,high,high
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,all wheel drive,Coupe,31,21,3916,46450,high,mid
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,rear wheel drive,Convertible,32,21,3916,49050,high,mid
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,all wheel drive,Convertible,32,21,3916,51050,high,high
BMW,2 Series,2017,335.0,6.0,AUTOMATIC,rear wheel drive,Coupe,32,21,3916,44450,high,mid
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,rear wheel drive,Convertible,34,23,3916,38950,low,mid
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,rear wheel drive,Coupe,35,24,3916,33150,low,mid
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,all wheel drive,Coupe,33,24,3916,35150,low,mid
BMW,2 Series,2017,248.0,4.0,AUTOMATIC,all wheel drive,Convertible,33,23,3916,40950,low,mid
Audi,200,1990,162.0,5.0,AUTOMATIC,front wheel drive,Sedan,20,16,3105,2000,low,low
Audi,200,1990,162.0,5.0,MANUAL,all wheel drive,Wagon,22,15,3105,2000,low,low
Audi,200,1990,162.0,5.0,MANUAL,all wheel drive,Sedan,23,15,3105,2000,low,low
Audi,200,1991,217.0,5.0,MANUAL,all wheel drive,Sedan,22,16,3105,2000,low,low
Audi,200,1991,217.0,5.0,MANUAL,all wheel drive,Wagon,22,16,3105,2000,low,low
Audi,200,1991,162.0,5.0,AUTOMATIC,front wheel drive,Sedan,20,16,3105,2000,low,low
Chrysler,200,2015,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,25170,low,low
Chrysler,200,2015,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,23950,low,low
Chrysler,200,2015,295.0,6.0,AUTOMATIC,all wheel drive,Sedan,29,18,1013,29370,low,low
Chrysler,200,2015,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,21995,low,low
Chrysler,200,2015,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,26625,low,low
Chrysler,200,2015,295.0,6.0,AUTOMATIC,all wheel drive,Sedan,29,18,1013,30825,low,mid
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,21995,low,low
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,27795,low,low
Chrysler,200,2016,295.0,6.0,AUTOMATIC,all wheel drive,Sedan,29,18,1013,31785,low,mid
Chrysler,200,2016,295.0,6.0,AUTOMATIC,all wheel drive,Sedan,29,18,1013,29905,low,low
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,22490,low,low
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,27570,low,low
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,25690,low,low
Chrysler,200,2016,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,24490,low,low
Chrysler,200,2017,295.0,6.0,AUTOMATIC,all wheel drive,Sedan,28,18,1013,29905,low,low
Chrysler,200,2017,295.0,6.0,AUTOMATIC,all wheel drive,Sedan,28,18,1013,31785,low,mid
Chrysler,200,2017,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,26685,low,low
Chrysler,200,2017,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,22490,low,low
Chrysler,200,2017,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,25690,low,low
Chrysler,200,2017,295.0,6.0,AUTOMATIC,all wheel drive,Sedan,28,18,1013,30900,low,mid
Chrysler,200,2017,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,27795,low,low
Chrysler,200,2017,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,21995,low,low
Chrysler,200,2017,184.0,4.0,AUTOMATIC,front wheel drive,Sedan,36,23,1013,24490,low,low
Nissan,200SX,1996,115.0,4.0,MANUAL,front wheel drive,Coupe,36,26,2009,2000,low,low
Nissan,200SX,1996,140.0,4.0,MANUAL,front wheel drive,Coupe,29,21,2009,2000,low,low
Nissan,200SX,1997,140.0,4.0,MANUAL,front wheel drive,Coupe,29,21,2009,2000,low,low
Nissan,200SX,1997,115.0,4.0,MANUAL,front wheel drive,Coupe,35,25,2009,2000,low,low
Nissan,200SX,1998,115.0,4.0,MANUAL,front wheel drive,Coupe,35,25,2009,2000,low,low
Nissan,200SX,1998,140.0,4.0,MANUAL,front wheel drive,Coupe,28,20,2009,2073,low,low
Nissan,240SX,1996,155.0,4.0,MANUAL,rear wheel drive,Coupe,26,19,2009,3713,low,low
Nissan,240SX,1996,155.0,4.0,MANUAL,rear wheel drive,Coupe,26,19,2009,3520,low,low
Nissan,240SX,1997,155.0,4.0,MANUAL,rear wheel drive,Coupe,26,19,2009,3910,low,low
Nissan,240SX,1997,155.0,4.0,MANUAL,rear wheel drive,Coupe,26,19,2009,4182,low,low
Nissan,240SX,1997,155.0,4.0,MANUAL,rear wheel drive,Coupe,26,19,2009,4107,low,low
Nissan,240SX,1998,155.0,4.0,MANUAL,rear wheel drive,Coupe,25,20,2009,4299,low,low
Nissan,240SX,1998,155.0,4.0,MANUAL,rear wheel drive,Coupe,25,20,2009,4693,low,low
Nissan,240SX,1998,155.0,4.0,MANUAL,rear wheel drive,Coupe,25,20,2009,4107,low,low
Volvo,240,1991,114.0,4.0,MANUAL,rear wheel drive,Wagon,26,19,870,2000,low,low
Volvo,240,1991,114.0,4.0,AUTOMATIC,rear wheel drive,Wagon,23,18,870,2000,low,low
Volvo,240,1991,114.0,4.0,MANUAL,rear wheel drive,Sedan,26,19,870,2000,low,low
Volvo,240,1992,114.0,4.0,MANUAL,rear wheel drive,Sedan,26,19,870,2000,low,low
Volvo,240,1992,114.0,4.0,MANUAL,rear wheel drive,Wagon,26,19,870,2000,low,low
Volvo,240,1993,114.0,4.0,MANUAL,rear wheel drive,Sedan,26,19,870,2000,low,low
Volvo,240,1993,114.0,4.0,MANUAL,rear wheel drive,Wagon,25,18,870,2000,low,low
Mazda,2,2012,100.0,4.0,MANUAL,front wheel drive,4dr Hatchback,35,29,586,16020,low,low
Mazda,2,2012,100.0,4.0,MANUAL,front wheel drive,4dr Hatchback,35,29,586,14530,low,low
Mazda,2,2012,100.0,4.0,AUTOMATIC,front wheel drive,4dr Hatchback,34,28,586,16860,low,low
Mazda,2,2012,100.0,4.0,AUTOMATIC,front wheel drive,4dr Hatchback,34,28,586,15370,low,low
Mazda,2,2013,100.0,4.0,AUTOMATIC,front wheel drive,4dr Hatchback,34,28,586,17050,low,low
Mazda,2,2013,100.0,4.0,AUTOMATIC,front wheel drive,4dr Hatchback,34,28,586,15560,low,low
Mazda,2,2013,100.0,4.0,MANUAL,front wheel drive,4dr Hatchback,35,29,586,16210,low,low
Mazda,2,2013,100.0,4.0,MANUAL,front wheel drive,4dr Hatchback,35,29,586,14720,low,low
Mazda,2,2014,100.0,4.0,AUTOMATIC,front wheel drive,4dr Hatchback,34,28,586,17050,low,low
Mazda,2,2014,100.0,4.0,AUTOMATIC,front wheel drive,4dr Hatchback,34,28,586,15560,low,low
Mazda,2,2014,100.0,4.0,MANUAL,front wheel drive,4dr Hatchback,35,29,586,16210,low,low
Mazda,2,2014,100.0,4.0,MANUAL,front wheel drive,4dr Hatchback,35,29,586,14720,low,low
BMW,3 Series Gran Turismo,2015,300.0,6.0,AUTOMATIC,all wheel drive,4dr Hatchback,30,20,3916,47250,high,mid
BMW,3 Series Gran Turismo,2015,240.0,4.0,AUTOMATIC,all wheel drive,4dr Hatchback,33,22,3916,41850,low,mid
BMW,3 Series Gran Turismo,2016,240.0,4.0,AUTOMATIC,all wheel drive,4dr Hatchback,34,22,3916,43000,low,mid
BMW,3 Series Gran Turismo,2016,300.0,6.0,AUTOMATIC,all wheel drive,4dr Hatchback,30,20,3916,49200,high,mid
BMW,3 Series Gran Turismo,2017,320.0,6.0,AUTOMATIC,all wheel drive,4dr Hatchback,30,20,3916,49650,high,mid
BMW,3 Series Gran Turismo,2017,248.0,4.0,AUTOMATIC,all wheel drive,4dr Hatchback,33,23,3916,43950,low,mid
BMW,3 Series,2015,241.0,4.0,AUTOMATIC,all wheel drive,Wagon,33,22,3916,41950,low,mid
BMW,3 Series,2015,335.0,6.0,AUTOMATIC,rear wheel drive,Sedan,33,25,3916,50150,high,high
BMW,3 Series,2015,240.0,4.0,AUTOMATIC,rear wheel drive,Sedan,35,23,3916,37500,low,mid
BMW,3 Series,2015,300.0,6.0,AUTOMATIC,rear wheel drive,Sedan,32,21,3916,43750,high,mid
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,rear wheel drive,Sedan,45,32,3916,39000,low,mid
BMW,3 Series,2015,240.0,4.0,AUTOMATIC,all wheel drive,Sedan,33,22,3916,39500,low,mid
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,all wheel drive,Sedan,35,23,3916,34950,low,mid
BMW,3 Series,2015,300.0,6.0,AUTOMATIC,all wheel drive,Sedan,30,20,3916,45750,high,mid
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,all wheel drive,Wagon,43,31,3916,43450,low,mid
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,all wheel drive,Sedan,43,31,3916,41000,low,mid
BMW,3 Series,2015,180.0,4.0,AUTOMATIC,rear wheel drive,Sedan,36,24,3916,32950,low,mid
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,all wheel drive,Sedan,40,30,3916,41850,low,mid
BMW,3 Series,2016,320.0,6.0,AUTOMATIC,all wheel drive,Sedan,33,22,3916,47800,high,mid
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,rear wheel drive,Sedan,42,32,3916,39850,low,mid
BMW,3 Series,2016,240.0,4.0,AUTOMATIC,rear wheel drive,Sedan,34,22,3916,38350,low,mid
BMW,3 Series,2016,240.0,4.0,AUTOMATIC,all wheel drive,Sedan,34,22,3916,40350,low,mid
BMW,3 Series,2016,240.0,4.0,MANUAL,rear wheel drive,Sedan,34,22,3916,38350,low,mid
BMW,3 Series,2016,240.0,4.0,AUTOMATIC,all wheel drive,Wagon,34,22,3916,42650,low,mid
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,rear wheel drive,Sedan,36,24,3916,33150,low,mid
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,all wheel drive,Sedan,35,23,3916,35150,low,mid
BMW,3 Series,2016,180.0,4.0,AUTOMATIC,all wheel drive,Wagon,40,30,3916,44150,low,mid
BMW,3 Series,2016,320.0,6.0,AUTOMATIC,rear wheel drive,Sedan,33,22,3916,45800,high,mid
BMW,3 Series,2017,248.0,4.0,AUTOMATIC,rear wheel drive,Sedan,34,23,3916,38750,low,mid
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,all wheel drive,Sedan,34,23,3916,35450,low,mid
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,rear wheel drive,Sedan,35,23,3916,33450,low,mid
BMW,3 Series,2017,248.0,4.0,AUTOMATIC,all wheel drive,Sedan,33,23,3916,40750,low,mid
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,all wheel drive,Sedan,40,30,3916,42250,low,mid
BMW,3 Series,2017,248.0,4.0,AUTOMATIC,all wheel drive,Wagon,33,23,3916,42950,low,mid
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,rear wheel drive,Sedan,42,32,3916,40250,low,mid
BMW,3 Series,2017,320.0,6.0,AUTOMATIC,all wheel drive,Sedan,31,21,3916,49900,high,mid
BMW,3 Series,2017,320.0,6.0,AUTOMATIC,rear wheel drive,Sedan,32,21,3916,47900,high,mid
BMW,3 Series,2017,180.0,4.0,AUTOMATIC,all wheel drive,Wagon,40,30,3916,44450,low,mid
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,rear wheel drive,Sedan,19,15,617,2232,low,low
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,rear wheel drive,Wagon,20,15,617,2000,low,low
Mercedes-Benz,300-Class,1991,158.0,6.0,AUTOMATIC,rear wheel drive,Sedan,22,17,617,2000,low,low
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,all wheel drive,Sedan,20,15,617,2105,low,low
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,all wheel drive,Wagon,18,15,617,2199,low,low
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,rear wheel drive,Sedan,22,16,617,2000,low,low
Mercedes-Benz,300-Class,1991,177.0,6.0,AUTOMATIC,rear wheel drive,Sedan,19,15,617,2124,low,low
Mercedes-Benz,300-Class,1991,228.0,6.0,MANUAL,rear wheel drive,Convertible,21,14,617,3552,low,low
Mercedes-Benz,300-Class,1991,217.0,6.0,AUTOMATIC,rear wheel drive,Coupe,22,15,617,2179,low,low
Mercedes-Benz,300-Class,1991,121.0,5.0,AUTOMATIC,rear wheel drive,Sedan,30,23,617,2000,low,low
Mercedes-Benz,300-Class,1992,121.0,5.0,AUTOMATIC,rear wheel drive,Sedan,29,23,617,2000,low,low
Mercedes-Benz,300-Class,1992,228.0,6.0,AUTOMATIC,rear wheel drive,Sedan,17,14,617,2377,low,low
Mercedes-Benz,300-Class,1992,228.0,6.0,MANUAL,rear wheel drive,Convertible,21,15,617,3814,low,low
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,all wheel drive,Sedan,19,15,617,2207,low,low
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,rear wheel drive,Wagon,20,15,617,2000,low,low
Mercedes-Benz,300-Class,1992,217.0,6.0,AUTOMATIC,rear wheel drive,Coupe,21,15,617,2248,low,low
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,rear wheel drive,Sedan,22,16,617,2065,low,low
Mercedes-Benz,300-Class,1992,148.0,6.0,AUTOMATIC,rear wheel drive,Sedan,22,18,617,2547,low,low
Mercedes-Benz,300-Class,1992,177.0,6.0,AUTOMATIC,all wheel drive,Wagon,18,15,617,2282,low,low
Mercedes-Benz,300-Class,1992,158.0,6.0,AUTOMATIC,rear wheel drive,Sedan,23,18,617,2000,low,low
Mercedes-Benz,300-Class,1993,177.0,6.0,AUTOMATIC,all wheel drive,Wagon,19,15,617,2544,low,low
Mercedes-Benz,300-Class,1993,217.0,6.0,AUTOMATIC,rear wheel drive,Coupe,22,17,617,2397,low,low
Mercedes-Benz,300-Class,1993,121.0,5.0,AUTOMATIC,rear wheel drive,Sedan,30,23,617,2000,low,low
Mercedes-Benz,300-Class,1993,228.0,6.0,MANUAL,rear wheel drive,Convertible,21,14,617,4174,low,low
Mercedes-Benz,300-Class,1993,217.0,6.0,AUTOMATIC,rear wheel drive,Sedan,22,17,617,2187,low,low
Mercedes-Benz,300-Class,1993,148.0,6.0,AUTOMATIC,rear wheel drive,Sedan,22,18,617,2729,low,low
Mercedes-Benz,300-Class,1993,177.0,6.0,AUTOMATIC,all wheel drive,Sedan,19,15,617,2433,low,low
Mercedes-Benz,300-Class,1993,194.0,6.0,AUTOMATIC,rear wheel drive,Sedan,23,17,617,2247,low,low
Mercedes-Benz,300-Class,1993,228.0,6.0,AUTOMATIC,rear wheel drive,Sedan,18,14,617,2540,low,low
Mitsubishi,3000GT,1997,218.0,6.0,MANUAL,front wheel drive,2dr Hatchback,23,17,436,3941,low,low
Mitsubishi,3000GT,1997,161.0,6.0,MANUAL,front wheel drive,2dr Hatchback,22,17,436,3295,low,low
Mitsubishi,3000GT,1997,320.0,6.0,MANUAL,all wheel drive,2dr Hatchback,22,16,436,6008,high,low
Mitsubishi,3000GT,1998,320.0,6.0,MANUAL,all wheel drive,2dr Hatchback,22,16,436,6710,high,low
Mitsubishi,3000GT,1998,161.0,6.0,MANUAL,front wheel drive,2dr Hatchback,22,17,436,3701,low,low
Mitsubishi,3000GT,1998,218.0,6.0,MANUAL,front wheel drive,2dr Hatchback,23,17,436,4671,low,low
Mitsubishi,3000GT,1999,218.0,6.0,MANUAL,front wheel drive,2dr Hatchback,23,17,436,5306,low,low
Mitsubishi,3000GT,1999,320.0,6.0,MANUAL,all wheel drive,2dr Hatchback,22,16,436,7600,high,low
Mitsubishi,3000GT,1999,161.0,6.0,MANUAL,front wheel drive,2dr Hatchback,22,17,436,4090,low,low
Chrysler,300,2015,300.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,37570,high,mid
Chrysler,300,2015,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,31695,low,mid
Chrysler,300,2015,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,38070,low,mid
Chrysler,300,2015,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,44895,low,mid
Chrysler,300,2015,300.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,35070,high,mid
Chrysler,300,2015,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,42395,low,mid
Chrysler,300,2015,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,34195,low,mid
Chrysler,300,2015,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,40570,low,mid
Chrysler,300,2016,300.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,38095,high,mid
Chrysler,300,2016,300.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,35595,high,mid
Chrysler,300,2016,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,45190,low,mid
Chrysler,300,2016,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,32260,low,mid
Chrysler,300,2016,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,37755,low,mid
Chrysler,300,2016,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,41055,low,mid
Chrysler,300,2016,300.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,36090,high,mid
Chrysler,300,2016,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,42690,low,mid
Chrysler,300,2016,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,38555,low,mid
Chrysler,300,2016,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,31,19,1013,35255,low,mid
Chrysler,300,2016,300.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,38590,high,mid
Chrysler,300,2016,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,34760,low,mid
Chrysler,300,2017,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,41135,low,mid
Chrysler,300,2017,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,45270,low,mid
Chrysler,300,2017,300.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,38670,high,mid
Chrysler,300,2017,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,38635,low,mid
Chrysler,300,2017,300.0,6.0,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,36170,high,mid
Chrysler,300,2017,300.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,38175,high,mid
Chrysler,300,2017,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,32340,low,mid
Chrysler,300,2017,292.0,6.0,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,42770,low,mid
Chrysler,300,2017,292.0,6.0,AUTOMATIC,all wheel drive,Sedan,27,18,1013,34840,low,mid
Chrysler,300,2017,300.0,6.0,AUTOMATIC,rear wheel drive,Sedan,30,19,1013,35675,high,mid
Chrysler,300M,2002,250.0,6.0,AUTOMATIC,front wheel drive,Sedan,24,16,1013,32065,low,mid
Chrysler,300M,2002,250.0,6.0,AUTOMATIC,front wheel drive,Sedan,24,16,1013,28540,low,low
Chrysler,300M,2003,255.0,6.0,AUTOMATIC,front wheel drive,Sedan,25,16,1013,32315,low,mid
Chrysler,300M,2003,250.0,6.0,AUTOMATIC,front wheel drive,Sedan,25,16,1013,28885,low,low
Chrysler,300M,2004,250.0,6.0,AUTOMATIC,front wheel drive,Sedan,25,16,1013,29185,low,low
Chrysler,300M,2004,255.0,6.0,AUTOMATIC,front wheel drive,Sedan,25,16,1013,32615,low,mid
Nissan,300ZX,1994,222.0,6.0,MANUAL,rear wheel drive,Convertible,22,16,2009,2847,low,low
Nissan,300ZX,1994,222.0,6.0,MANUAL,rear wheel drive,Coupe,22,16,2009,2488,low,low
Nissan,300ZX,1994,300.0,6.0,MANUAL,rear wheel drive,2dr Hatchback,22,16,2009,2683,high,low
Nissan,300ZX,1994,222.0,6.0,MANUAL,rear wheel drive,Coupe,22,16,2009,2553,low,low
Nissan,300ZX,1995,300.0,6.0,MANUAL,rear wheel drive,Coupe,22,16,2009,3049,high,low
Nissan,300ZX,1995,222.0,6.0,MANUAL,rear wheel drive,Coupe,22,17,2009,2774,low,low
Nissan,300ZX,1995,222.0,6.0,MANUAL,rear wheel drive,Coupe,22,17,2009,2702,low,low
Nissan,300ZX,1995,222.0,6.0,MANUAL,rear wheel drive,Convertible,22,17,2009,3101,low,low
Nissan,300ZX,1996,300.0,6.0,MANUAL,rear wheel drive,Coupe,22,16,2009,3510,high,low
Nissan,300ZX,1996,222.0,6.0,MANUAL,rear wheel drive,Coupe,22,17,2009,3107,low,low
Nissan,300ZX,1996,222.0,6.0,MANUAL,rear wheel drive,Convertible,22,17,2009,3624,low,low
Nissan,300ZX,1996,222.0,6.0,MANUAL,rear wheel drive,Coupe,22,17,2009,3185,low,low
Mazda,323,1992,82.0,4.0,MANUAL,front wheel drive,2dr Hatchback,33,25,586,2000,low,low
Mazda,323,1993,82.0,4.0,MANUAL,front wheel drive,2dr Hatchback,33,25,586,2000,low,low
Mazda,323,1993,82.0,4.0,MANUAL,front wheel drive,2dr Hatchback,32,24,586,2000,low,low
Mazda,323,1994,82.0,4.0,MANUAL,front wheel drive,2dr Hatchback,33,25,586,2000,low,low
Mercedes-Benz,350-Class,1990,134.0,6.0,AUTOMATIC,rear wheel drive,Sedan,23,19,617,2144,low,low
Mercedes-Benz,350-Class,1990,134.0,6.0,AUTOMATIC,rear wheel drive,Sedan,23,19,617,2098,low,low
Mercedes-Benz,350-Class,1991,134.0,6.0,AUTOMATIC,rear wheel drive,Sedan,23,19,617,2178,low,low
Mercedes-Benz,350-Class,1991,134.0,6.0,AUTOMATIC,rear wheel drive,Sedan,23,19,617,2311,low,low
Nissan,350Z,2007,306.0,6.0,AUTOMATIC,rear wheel drive,Convertible,23,17,2009,36550,high,mid
